Year,District,Total cases,Total deaths
2000,Idukki,29,0
2000,Kannur,255,1
2000,Kasaragod,366,1
2000,Kollam,315,0
2000,Kottayam,61,1
2000,Kozhikode,255,0
2000,Malappuram,335,2
2000,Palakkad,121,0
2000,Pathanamthitta,255,0
2000,Thiruvananthapuram,179,1
2000,Thrissur,284,1
2000,Wayanad,25,0
2000,Lakshadweep District,5,0
2000,Balaghat,6310,0
2000,Barwani,784,0
2000,Betul,16764,27
2000,Bhind,2790,0
2000,Bhopal,4449,1
2000,Chhatarpur,4051,0
2000,Chhindwara,13170,8
2000,Damoh,2093,0
2000,Datia,154,0
2000,Dewas,721,0
2000,Dhar,2088,0
2000,Dindori,20135,3
2000,East Nimar,2143,0
2000,Guna,4007,0
2000,Gwalior,1799,0
2000,Harda,1362,2
2000,Indore,1119,0
2000,Jabalpur,1541,0
2000,Jhabua,3941,0
2000,Katni,1278,0
2000,Khargone,2100,0
2000,Mandla,29946,10
2000,Mandsaur,770,0
2000,Morena,869,0
2000,Narmadapuram,2507,0
2000,Narsinghpur,2791,0
2000,Neemuch,592,0
2000,Panna,1078,0
2000,Raisen,1318,0
2000,Rajgarh,1703,0
2000,Ratlam,2083,0
2000,Rewa,2395,3
2000,Sagar,12739,0
2000,Satna,3418,0
2000,Sehore,2633,0
2000,Seoni,16326,4
2000,Shahdol,8235,1
2000,Shajapur,951,0
2000,Sheopur,985,0
2000,Shivpuri,3635,0
2000,Sidhi,2071,33
2000,Tikamgarh,1997,0
2000,Ujjain,214,0
2000,Umaria,764,0
2000,Vidisha,1870,1
2000,Ahmednagar,1180,2
2000,Akola,1106,1
2000,Amravati,1929,0
2000,Aurangabad,1850,3
2000,Beed,1740,0
2000,Bhandara,1374,1
2000,Buldhana,880,1
2000,Chandrapur,4136,1
2000,Dhule,1367,0
2000,Gadchiroli,17865,3
2000,Gondia,3931,3
2000,Hingoli,193,0
2000,Jalgaon,1265,0
2000,Jalna,321,0
2000,Kolhapur,266,1
2000,Latur,860,0
2000,Mumbai,11222,5
2000,Nagpur,2459,2
2000,Nagpur MC#,393,0
2000,Nanded,1160,0
2000,Nandurbar,1044,0
2000,Nashik,513,0
2000,Osmanabad,535,0
2000,Parbhani,699,0
2000,Pune,1544,4
2000,Pune MC#,147,0
2000,Raigad,3695,3
2000,Ratnagiri,878,0
2000,Sangli,486,1
2000,Satara,1343,2
2000,Sindhudurg,270,0
2000,Solapur,2219,3
2000,Thane,6319,4
2000,Wardha,1411,0
2000,Washim,718,0
2000,Yavatmal,4088,0
2001,Bishnupur,43,0
2001,Chandel,50,0
2001,Churachandpur,173,0
2001,Imphal,266,0
2001,Senapati,91,0
2001,Tamenglong,208,0
2001,Thoubal,158,0
2001,Ukhrul,75,0
2001,Garo Hills,7052,5
2001,Khasi Hills,2654,2
2001,West Jaintia Hills,3993,4
2001,Aizawl,1092,5
2001,Aizawl West#,4793,24
2001,Chhimtuipui#,1211,2
2001,Lunglei,1963,2
2001,Mon,94,0
2001,Dimapur,47,0
2001,Kohima,228,0
2001,Mokokchung,1429,0
2001,Phek,213,0
2001,Tuensang,405,0
2001,UVBDS Dimapur#,553,0
2001,Wokha,333,0
2001,Zunheboto,141,0
2001,Anugul,16327,49
2001,Balangir,25324,6
2001,Baleshwar,7431,15
2001,Bargarh,17076,5
2001,Bhadrak,1104,6
2001,Boudh,2405,0
2001,Cuttack,3918,1
2001,Deogarh,11231,9
2001,Dhenkanal,25011,4
2001,Gajapati,13008,0
2001,Ganjam,16418,6
2001,Jagatsinghapur,228,0
2001,Jajapur,4809,3
2001,Jharsuguda,4141,1
2001,Kalahandi,25151,49
2001,Kandhamal,37545,13
2001,Kendrapara,773,1
2001,Kendujhar,51565,108
2001,Khordha,4677,0
2001,Koraput,19283,35
2001,Malkangiri,13919,12
2001,Mayurbhanj,31161,27
2001,Nabarangpur,13200,14
2001,Nayagarh,4688,5
2001,Nuapada,30994,32
2001,Puri,486,0
2001,Rayagada,18461,5
2001,Sambalpur,17918,0
2001,Sonepur,9407,0
2001,Sundargarh,81838,61
2001,Karaikal,14,0
2001,Mahe,3,0
2001,Pondicherry,118,0
2001,Yanam,2,0
2001,Amritsar,35,0
2001,Bathinda,36,1
2001,Faridkot,19,0
2001,Fatehgarh Sahib,2,0
2001,Ferozepur,58,0
2001,Gurdaspur,14,0
2001,Hoshiarpur,19,0
2001,Jalandhar,13,0
2001,Kapurthala,78,0
2001,Ludhiana,17,0
2001,Mansa,3,0
2001,Moga,35,0
2001,Patiala,19,0
2001,Rupnagar,14,0
2001,S.A.S Nagar,8,0
2001,Sangrur,106,0
2001,Sri Muktsar Sahib,17,0
2001,Ajmer,1041,1
2001,Alwar,1902,0
2001,Banswara,800,0
2001,Baran,1054,0
2001,Barmer,1497,0
2001,Bharatpur,1375,0
2001,Bhilwara,3662,0
2001,Bikaner,836,1
2001,Bundi,2514,0
2001,Chittorgarh,1328,0
2001,Churu,460,1
2001,Dausa,652,0
2001,Dholpur,551,0
2001,Dungarpur,1168,0
2001,Ganganagar,85,0
2001,Hanumangarh,114,0
2001,Jaipur,1527,2
2001,Jaisalmer,1505,1
2001,Jalore,344,0
2001,Jhalawar,501,0
2001,Jhunjhunu,258,1
2001,Jodhpur,728,0
2001,Karauli,1295,1
2001,Kota,2100,0
2001,Nagaur,781,0
2001,Pali,1315,0
2001,Rajsamand,448,2
2001,Sawai Madhopur,2068,0
2001,Sikar,414,0
2001,Sirohi,557,0
2001,Tonk,1065,0
2001,Udaipur,2028,0
2001,Gangtok,10,0
2001,Gyalshing,0,0
2001,Mangan,0,0
2001,Namchi,6,0
2001,Aranthangi#,26,0
2001,Chengalpattu,97,0
2001,Chennai,31861,0
2001,Cheyyar#,82,0
2001,Coimbatore,7,0
2001,Cuddalore,42,0
2001,Dharapuram#,5,0
2001,Dharmapuri,401,0
2001,Dindigul,357,0
2001,Erode,555,0
2001,Kallakurichi,170,0
2001,Kanchipuram,9,0
2001,Kanniyakumari,992,0
2001,Karur,4,0
2001,Kovilpatti#,42,0
2001,Krishnagiri,27,0
2001,Madurai,31,0
2001,Nagapattinam,179,0
2001,Namakkal,446,0
2001,Palani#,11,0
2001,Paramakudi#,105,0
2001,Perambalur,57,0
2001,Poonamallee#,1605,0
2001,Pudukkottai,18,0
2001,Ramanathapuram,814,0
2001,Salem,1527,0
2001,Sivaganga,46,0
2001,Sivakasi#,24,0
2001,Tenkasi,46,0
2001,Thanjavur,38,0
2001,The Nilgiris,6,0
2001,Theni,0,0
2001,Thiruvallur,115,0
2001,Thiruvarur,62,0
2001,Tiruchirappalli,70,0
2001,Tirunelveli,622,0
2001,Tirupathur,118,0
2001,Tiruppur,4,0
2001,Tiruvannamalai,459,0
2001,Tuticorin,1313,0
2001,Vellore,489,1
2001,Villupuram,168,0
2001,Virudhunagar,3,0
2001,Dhalai,703,0
2001,North Tripura,1153,2
2001,South Tripura,9487,2
2001,West Tripura,902,2
2001,Agra,328,0
2001,Aligarh,1523,0
2001,Ambedkar Nagar,6,0
2001,Amroha,0,0
2001,Auraiya,0,0
2001,Ayodhya,1,0
2001,Azamgarh,3,0
2001,Baghpat,0,0
2001,Bahraich,2747,0
2001,Ballia,16,0
2001,Balrampur,7,0
2001,Banda,781,0
2001,Barabanki,0,0
2001,Bareilly,1501,0
2001,Basti,66,0
2001,Bhadohi,2841,0
2001,Bijnor,1338,0
2001,Budaun,3794,0
2001,Bulandshahr,2539,0
2001,Chandauli,1001,0
2001,Chitrakoot,314,0
2001,Deoria,19,0
2001,Etah,1741,0
2001,Etawah,944,0
2001,Farrukhabad,2081,0
2001,Fatehpur,359,0
2001,Firozabad,1200,0
2001,Gautam Buddha Nagar,1530,0
2001,Ghaziabad,663,0
2001,Ghazipur,2,0
2001,Gonda,26,0
2001,Gorakhpur,19,0
2001,Hamirpur,2257,0
2001,Hardoi,54,0
2001,Hathras,470,0
2001,Jalaun,489,0
2001,Jaunpur,223,0
2001,Jhansi,1768,0
2001,Kannauj,0,0
2001,Kanpur Dehat,297,0
2001,Kanpur Nagar,428,0
2001,Kaushambi,167,0
2001,Kheri,916,0
2001,Kushi Nagar,168,0
2001,Lalitpur,726,0
2001,Lucknow,28,0
2001,Maharajganj,139,0
2001,Mahoba,1006,0
2001,Mainpuri,1644,0
2001,Mathura,1671,0
2001,Mau,60,0
2001,Meerut,245,0
2001,Mirzapur,20313,0
2001,Moradabad,1729,0
2001,Muzaffarnagar,532,0
2001,Pilibhit,41,0
2001,Pratapgarh,228,0
2001,Prayagraj,3737,0
2001,Rae Bareli,147,0
2001,Rampur,1329,0
2001,Saharanpur,486,0
2001,Sant Kabeer Nagar,0,0
2001,Shahjahanpur,45,0
2001,Shravasti,19,0
2001,Siddharth Nagar,47,0
2001,Sitapur,763,0
2001,Sonbhadra,26661,0
2001,Sultanpur,403,0
2001,Unnao,17,0
2001,Varanasi,328,0
2001,Almora,33,0
2001,Bageshwar,0,0
2001,Chamoli,49,0
2001,Champawat,0,0
2001,Dehradun,64,0
2001,Haridwar,735,0
2001,Nainital,188,0
2001,Pauri Garhwal,94,0
2001,Pithoragarh,21,0
2001,Rudra Prayag,0,0
2001,Tehri Garhwal,13,0
2001,Udam Singh Nagar,805,0
2001,Uttar Kashi,6,0
2001,24 Paraganas North,234,0
2001,24 Paraganas South,238,0
2001,Arambagh#,163,0
2001,Bankura,3790,4
2001,Bardhaman,170,3
2001,Barrackpore#,4,0
2001,Basirhat HD#,65,0
2001,Birbhum,155,4
2001,Chandan nagar#,22,0
2001,Contai#,350,0
2001,Coochbehar,3870,2
2001,Darjeeling,186,0
2001,Diamond Harbour HD#,392,0
2001,Dinajpur Dakshin,148,0
2001,Dinajpur Uttar,230,0
2001,Ghatal#,87,0
2001,Hooghly,49,1
2001,Howrah,66,0
2001,Jalpaiguri,20522,16
2001,Jangipur (N)#,391,0
2001,Kalna#,39,0
2001,Kandi#,109,0
2001,Katwa#,14,0
2001,KMUHO#,412,0
2001,Kolkata,84438,55
2001,Maldah,793,0
2001,Midnapur,1582,0
2001,Murshidabad,73,0
2001,Nadia,488,0
2001,Purulia,25126,14
2001,Serampore#,21,0
2001,Tamluk#,598,1
2001,Uluberia#,370,0
2001,Vishnupur#,127,3
2001,Andaman,491,1
2001,Nicobars,434,0
2001,Adilabad,1818,0
2001,Anantapur,995,0
2001,Chittoor,228,0
2001,East Godavari,11466,0
2001,Guntur,907,0
2001,Hyderabad,627,0
2001,Karimnagar,1867,1
2001,Khammam,4316,0
2001,Krishna,5316,0
2001,Kurnool,2614,0
2001,Mahabubnagar,160,0
2001,Medak,29,0
2001,Nalgonda,35,0
2001,Nizamabad,237,0
2001,Prakasam,968,0
2001,Ranga Reddy,400,0
2001,SPSR Nellore,84,0
2001,Srikakulam,2928,0
2001,Visakhapatanam,17124,0
2001,Vizianagaram,3821,0
2001,Warangal,521,0
2001,West Godavari,303,0
2001,Y.S.R.,971,0
2001,Changlang,13122,0
2001,Dibang Valley,8380,14
2001,East Kameng,3448,0
2001,East Siang,10358,0
2001,Lohit,7259,0
2001,Lower Subansiri,215,0
2001,Papum Pare,4911,0
2001,Tirap,2487,0
2001,Upper Siang,100,0
2001,Upper Subansiri,564,0
2001,West Kameng,458,0
2001,West Siang,4728,0
2001,Barpeta,1836,2
2001,Bongaigaon,4200,3
2001,Cachar,3854,0
2001,Darrang,17949,1
2001,Dhemaji,791,3
2001,Dhubri,2202,4
2001,Dibrugarh,84,6
2001,Dima Hasao,3323,0
2001,Goalpara,5846,0
2001,Golaghat,164,20
2001,Hailakandi,4321,0
2001,Jorhat,432,5
2001,Kamrup,6682,6
2001,Karbi Anglong,17243,19
2001,Karimganj,817,1
2001,Kokrajhar,4706,8
2001,Lakhimpur,2517,0
2001,Marigaon,506,6
2001,Nagaon,3690,5
2001,Nalbari,1749,2
2001,Sivasagar,127,4
2001,Sonitpur,8908,9
2001,Tinsukia,3195,18
2001,Araria,0,0
2001,Aurangabad,1181,0
2001,Banka,1,0
2001,Begusarai,0,0
2001,Bhagalpur,22,0
2001,Bhojpur,8,0
2001,Buxar,0,0
2001,Darbhanga,0,0
2001,Gaya,746,0
2001,Gopalganj,4,0
2001,Jamui,502,0
2001,Jehanabad,18,0
2001,Kaimur (Bhabua),235,0
2001,Katihar,0,0
2001,Khagaria,0,0
2001,Kishanganj,1,0
2001,Lakhisarai,3,0
2001,Madhepura,0,0
2001,Madhubani,1,0
2001,Munger,180,0
2001,Muzaffarpur,54,0
2001,Nalanda,2,0
2001,Nawada,978,0
2001,Pashchim Champaran,0,0
2001,Patna,39,0
2001,Purbi Champaran,1,0
2001,Purnia,0,0
2001,Rohtas,103,0
2001,Saharsa,0,0
2001,Samastipur,3,0
2001,Saran,21,0
2001,Sheikhpura,0,0
2001,Sheohar,0,0
2001,Sitamarhi,0,0
2001,Siwan,4,0
2001,Supaul,0,0
2001,Vaishali,1,0
2001,Chandigarh,298,0
2001,Bastar,51844,18
2001,Bilaspur,9667,0
2001,Dantewada,35236,3
2001,Dhamtari,4881,0
2001,Durg,5708,0
2001,Janjgir-Champa,3193,0
2001,Jashpur,33490,0
2001,Kabirdham,1543,0
2001,Kanker,37895,1
2001,Korba,23196,2
2001,Korea,8295,0
2001,Mahasamund,4771,3
2001,Raigarh,19325,0
2001,Raipur,8708,3
2001,RajnandGaon,8779,0
2001,Surguja,34135,2
2001,"Dadra And Nagar
Haveli",848,0
2001,Daman,83,0
2001,Diu,4,0
2001,New Delhi,1484,0
2001,Goa,12331,12
2001,Ahmadabad,3572,0
2001,Ahmadabad MC#,1496,0
2001,Amreli,1441,0
2001,Anand,1576,0
2001,Banas kantha,3839,1
2001,Bharuch,1295,0
2001,Bhavnagar,1583,0
2001,Dang,241,0
2001,Dohad,2531,0
2001,Gandhinagar,511,0
2001,Jamnagar,1811,7
2001,Junagadh,4224,0
2001,Kachchh,15061,4
2001,Kheda,2468,2
2001,Mahesana,862,0
2001,Narmada,593,0
2001,Navsari,299,0
2001,Panch Mahals,1553,0
2001,Patan,4443,4
2001,Porbandar,353,0
2001,Rajkot,2579,0
2001,Sabar kantha,1616,0
2001,Surat,12989,0
2001,Surendranagar,10837,1
2001,Vadodara,3328,0
2001,Valsad,246,0
2001,Ambala,56,0
2001,Bhiwani,128,0
2001,Faridabad,249,0
2001,Fatehabad,1,0
2001,Gurugram,56,0
2001,Hisar,56,0
2001,Jhajjar,136,0
2001,Jind,13,0
2001,Kaithal,0,0
2001,Karnal,4,0
2001,Kurukshetra,1,0
2001,Mahendragarh,210,0
2001,Panchkula,33,0
2001,Panipat,3,0
2001,Rewari,53,0
2001,Rohtak,39,0
2001,Sirsa,50,0
2001,Sonipat,83,0
2001,Yamunanagar,31,0
2001,Bilaspur,11,0
2001,Chamba,3,0
2001,Hamirpur,28,0
2001,Kangra,137,0
2001,Kullu,3,0
2001,Mandi,48,0
2001,Shimla,36,0
2001,Sirmaur,20,0
2001,Solan,17,0
2001,Una,46,0
2001,Baramulla,1,0
2001,Doda,6,0
2001,Jammu,273,0
2001,Kargil,0,0
2001,Kathua,16,0
2001,Leh Ladakh,0,0
2001,Poonch,208,0
2001,Rajouri,331,0
2001,Udhampur,77,0
2001,Bokaro,3157,0
2001,Chatra,3694,0
2001,Deoghar,183,3
2001,Dhanbad,2253,0
2001,Dumka,5498,0
2001,East Singhbum,5891,3
2001,Garhwa,10417,0
2001,Giridih,3922,0
2001,Godda,1863,3
2001,Gumla,23591,9
2001,Hazaribagh,11517,0
2001,Koderma,647,0
2001,Lohardaga,2823,0
2001,Pakur,1994,0
2001,Palamu,37895,3
2001,Ranchi,6155,0
2001,Sahebganj,3471,0
2001,West Singhbhum,5813,0
2001,A.M.U. Almatti#,1226,0
2001,A.M.U. B. Gudi#,107,0
2001,A.M.U. Kembhavi#,826,0
2001,Bagalkote,3937,0
2001,Ballari,6465,0
2001,Belagavi,989,0
2001,Bengaluru Rural,605,0
2001,Bengaluru Urban,377,1
2001,Bidar,1158,0
2001,Chamarajanagara,167,0
2001,Chikkamagaluru,20760,5
2001,Chitradurga,64195,1
2001,Dakshina Kannada,4441,0
2001,Davangere,655,0
2001,Dharwad,323,2
2001,Gadag,462,0
2001,Hassan,8870,0
2001,Haveri,139,0
2001,Kalaburagi,8742,0
2001,Kodagu,101,0
2001,Kolar,3922,0
2001,Koppal,4340,0
2001,Mandya,13917,1
2001,Mysuru,4935,1
2001,Raichur,8413,0
2001,Shivamogga,996,1
2001,Tumakuru,27553,1
2001,U.K.P.N. PURA#,2273,0
2001,Udupi,3176,7
2001,Uttara Kannada,171,0
2001,Vijayapura,3384,1
2001,Alappuzha,318,1
2001,Ernakulam,151,2
2001,Idukki,20,0
2001,Kannur,208,0
2001,Kasaragod,272,1
2001,Kollam,185,1
2001,Kottayam,61,1
2001,Kozhikode,220,0
2001,Malappuram,230,1
2001,Palakkad,89,0
2001,Pathanamthitta,185,0
2001,Thiruvananthapuram,91,1
2001,Thrissur,226,0
2001,Wayanad,33,1
2001,Lakshadweep District,0,0
2001,Balaghat,5418,1
2001,Barwani,935,0
2001,Betul,18440,11
2001,Bhind,1672,1
2001,Bhopal,4476,0
2001,Chhatarpur,2434,0
2001,Chhindwara,8906,0
2001,Damoh,2567,0
2001,Datia,207,0
2001,Dewas,846,0
2001,Dhar,781,0
2001,Dindori,19313,6
2001,East Nimar,1351,0
2001,Guna,4461,0
2001,Gwalior,6844,3
2001,Harda,973,0
2001,Indore,705,0
2001,Jabalpur,1589,0
2001,Jhabua,2010,0
2001,Katni,978,0
2001,Khargone,1194,0
2001,Mandla,33341,11
2001,Mandsaur,1193,0
2001,Morena,659,0
2001,Narmadapuram,3843,0
2001,Narsinghpur,2137,0
2001,Neemuch,1120,0
2001,Panna,1092,0
2001,Raisen,1482,0
2001,Rajgarh,3199,0
2001,Ratlam,2189,0
2001,Rewa,2365,6
2001,Sagar,6781,3
2001,Satna,2891,0
2001,Sehore,2819,0
2001,Seoni,11922,7
2001,Shahdol,4720,0
2001,Shajapur,1118,0
2001,Sheopur,1728,22
2001,Shivpuri,4605,1
2001,Sidhi,2179,9
2001,Tikamgarh,1625,0
2001,Ujjain,223,0
2001,Umaria,1649,0
2001,Vidisha,2138,0
2001,Ahmednagar,449,0
2001,Akola,367,0
2001,Amravati,1590,0
2001,Aurangabad,477,0
2001,Beed,1275,0
2001,Bhandara,482,0
2001,Buldhana,473,0
2001,Chandrapur,2269,2
2001,Dhule,685,0
2001,Gadchiroli,14321,5
2001,Gondia,2280,7
2001,Hingoli,117,1
2001,Jalgaon,470,0
2001,Jalna,113,0
2001,Kolhapur,259,0
2001,Latur,432,0
2001,Mumbai,12580,18
2001,Nagpur,990,0
2001,Nagpur MC#,193,0
2001,Nanded,982,0
2001,Nandurbar,472,0
2001,Nashik,158,0
2001,Osmanabad,267,0
2001,Parbhani,247,0
2001,Pune,798,0
2001,Pune MC#,103,0
2001,Raigad,2105,5
2001,Ratnagiri,488,0
2001,Sangli,390,2
2001,Satara,550,1
2001,Sindhudurg,301,0
2001,Solapur,969,2
2001,Thane,4607,6
2001,Wardha,831,1
2001,Washim,259,0
2001,Yavatmal,2694,0
2002,Bishnupur,73,0
2002,Chandel,66,0
2002,Churachandpur,248,5
2002,Imphal,43,0
2002,Jiribam,72,0
2002,Kangpokpi,71,0
2002,Senapati,4,0
2002,Tamenglong,173,0
2002,Thoubal,97,0
2002,Ukhrul,96,0
2002,Garo Hills,13917,12
2002,Khasi Hills,2668,5
2002,West Jaintia Hills,4045,0
2002,Aizawl,581,4
2002,Aizawl West#,5800,35
2002,Chhimtuipui#,1319,1
2002,Lunglei,3229,3
2002,Mass#,0,0
2002,Mon,264,0
2002,Dimapur,37,0
2002,Kohima,338,0
2002,Mokokchung,1507,0
2002,Phek,254,0
2002,Tuensang,602,0
2002,UVBDS Dimapur#,735,1
2002,Wokha,426,0
2002,Zunheboto,155,0
2002,Anugul,10865,27
2002,Balangir,27110,3
2002,Baleshwar,5227,4
2002,Bargarh,10728,7
2002,Bhadrak,937,2
2002,Boudh,2755,0
2002,Cuttack,3790,1
2002,Deogarh,8048,7
2002,Dhenkanal,20517,3
2002,Gajapati,12190,1
2002,Ganjam,19195,5
2002,Jagatsinghapur,181,1
2002,Jajapur,7955,6
2002,Jharsuguda,3257,2
2002,Kalahandi,17836,10
2002,Kandhamal,41725,8
2002,Kendrapara,504,0
2002,Kendujhar,40291,67
2002,Khordha,4992,3
2002,Koraput,21474,24
2002,Malkangiri,12107,9
2002,Mayurbhanj,23537,23
2002,Nabarangpur,15269,5
2002,Nayagarh,6437,12
2002,Nuapada,23927,32
2002,Puri,515,0
2002,Rayagada,18354,3
2002,Sambalpur,18867,0
2002,Sonepur,7205,0
2002,Sundargarh,68746,40
2002,Karaikal,12,0
2002,Mahe,4,0
2002,Pondicherry,88,0
2002,Yanam,2,0
2002,Amritsar,37,0
2002,Bathinda,10,0
2002,Faridkot,12,0
2002,Fatehgarh Sahib,9,0
2002,Ferozepur,67,0
2002,Gurdaspur,8,0
2002,Hoshiarpur,14,0
2002,Jalandhar,7,0
2002,Kapurthala,14,0
2002,Ludhiana,20,0
2002,Mansa,13,0
2002,Moga,5,0
2002,Patiala,53,0
2002,Rupnagar,13,0
2002,S.A.S Nagar,6,0
2002,Sangrur,284,0
2002,Sri Muktsar Sahib,32,0
2002,Ajmer,4471,1
2002,Alwar,1645,4
2002,Banswara,1634,0
2002,Baran,1993,0
